decision,term,id,full_term,type,scope,definition,plain,source,source_url,org_ref,note,revised_definition,revised_plain
,Vårgrønn,vargronn,Vårgrønn,organisation,bof,An offshore-wind company that owns 20% of Dogger Bank Wind Farm.,An offshore-wind company. It owns 20% of Dogger Bank Wind Farm.,Vårgrønn,https://www.vargronn.com,,"Norwegian company — not registered in England & Wales, so no Companies House / FTC reference.",,
,SafeLives,safelives,SafeLives,organisation,clr.da,"National domestic-abuse charity that develops and stewards the evidence base and models for the high-risk response, including the Multi-Agency Risk Assessment Conference (MARAC) and the Independent Domestic Violence Advisor (IDVA) models. Known as Co-ordinated Action Against Domestic Abuse (CAADA) until it was renamed SafeLives in 2014.",,SafeLives — Our history,https://safelives.org.uk/about-us/our-history/,findthatcharity org ID GB-CHC-1106864,"Added 2026-08-13: SafeLives previously appeared only as a source (MARAC steward; IDVA source), with no entry of its own. CAADA is the former name of the organisation; the 2010 report Saving lives, saving money cited in the DA report was published under CAADA. Pending team sign-off.",,
,The National Lottery Community Fund (TNLCF),the-national-lottery-community-fund-tnlcf,The National Lottery Community Fund,statutory,clr.da clr.hf clr.kw clr.md clr.tip,"The operating name since 2019 of the Big Lottery Fund: the UK's largest funder of community activity, distributing money raised for good causes by National Lottery players. Joint funder of Changing Futures with MHCLG.",,"National Lottery Act 2006 (established the Big Lottery Fund, which has operated as The National Lottery Community Fund since 2019).",https://www.legislation.gov.uk/ukpga/2006/23/contents,,"Added 2026-08-13: co-funder of Changing Futures, previously written out in full everywhere with no entry of its own; now abbreviated TNLCF across the report series. Pending team sign-off.",,
,Ministry of Justice,ministry-of-justice,Ministry of Justice,organisation,clr.md clr.kw,"The UK government department responsible for the courts, prisons, probation and sentencing policy in England and Wales; commissioned the Intensive Supervision Courts pilot and published the process evaluation cited in the Multiple Disadvantage report.",,Ministry of Justice (GOV.UK),https://www.gov.uk/government/organisations/ministry-of-justice,findthatcharity org ID GB-GOR-D18,Added 2026-08-13: previously used only as the abbreviation MoJ across the reports with no entry of its own. Pending team sign-off.,,
,Care Programme Approach,care-programme-approach,Care Programme Approach,substantive,rcvda,"The framework used to assess, plan and coordinate care for people with more complex mental-health needs; now largely superseded by the Community Mental Health Framework.",,Department of Health — Care Programme Approach.,,,Being replaced by the Community Mental Health Framework (from 2019).,,
,Child and Adolescent Mental Health Services,camhs,Child and Adolescent Mental Health Services,substantive,rcvda,"NHS services that assess and treat children and young people with emotional, behavioural or mental-health difficulties.",,NHS — CAMHS.,,,,,
,Children and Young People,children-and-young-people,Children and Young People,substantive,rcvda,"Collective term for children and young people, commonly used in health, education and social-care services.",,Common sector usage.,,,,,
,Children and Young People’s IAPT,cyp-iapt,Children and Young People’s Improving Access to Psychological Therapies programme,substantive,rcvda,An NHS England programme to transform children and young people's mental-health services by embedding evidence-based psychological therapies and outcome monitoring.,,NHS England — CYP IAPT programme.,,,,,
,Clinical Commissioning Group,ccg,Clinical Commissioning Group,organisation,rcvda,The NHS bodies that commissioned most local health services from 2013; abolished in July 2022 and replaced by Integrated Care Boards (ICBs).,,Health and Social Care Act 2012,https://www.legislation.gov.uk/ukpga/2012/7/contents,,Superseded by ICB (Health and Care Act 2022).,,
,Community Asset Transfer,community-asset-transfer,Community Asset Transfer,substantive,rcvda,"The transfer of land or buildings from public ownership (usually a local authority) to a community or voluntary organisation, at less than market value, to secure community benefit.",,Localism Act 2011 (community rights framework),https://www.legislation.gov.uk/ukpga/2011/20/contents,,,,
,Community Protection Notice,community-protection-notice,Community Protection Notice,statutory,rcvda,A notice requiring a person or body to stop or take action about behaviour that is unreasonable and has a detrimental effect on the local community's quality of life. Distinct from Community Psychiatric Nurse (also 'CPN').,,"Anti-social Behaviour, Crime and Policing Act 2014, s.43",https://www.legislation.gov.uk/ukpga/2014/12/section/43,,Homonym: not Community Psychiatric Nurse (see community-psychiatric-nurse).,,
,Community Psychiatric Nurse,community-psychiatric-nurse,Community Psychiatric Nurse,substantive,rcvda,A registered mental-health nurse who supports people with mental-health needs in the community; now more often titled community mental-health nurse.,,NHS mental-health nursing role.,,,,,
,Community Safety Partnership,community-safety-partnership,Community Safety Partnership,statutory,rcvda,"A statutory partnership of local 'responsible authorities' (police, local authority, fire, health and probation) that works to reduce crime, disorder and antisocial behaviour.",,"Crime and Disorder Act 1998, ss.5–7",https://www.legislation.gov.uk/ukpga/1998/37/contents,,,,
,Crown Prosecution Service,crown-prosecution-service,Crown Prosecution Service,organisation,rcvda,"The principal public agency for conducting criminal prosecutions in England and Wales, established under the Prosecution of Offences Act 1985.",,Prosecution of Offences Act 1985,https://www.legislation.gov.uk/ukpga/1985/23/contents,findthatcharity org ID GB-GOR-D101,,,
,Darlington Borough Council,darlington-borough-council,Darlington Borough Council,organisation,rcvda,The unitary local authority for the Borough of Darlington in the Tees Valley.,,Darlington Borough Council,https://www.darlington.gov.uk,findthatcharity org ID GB-LAE-DAL,,,
,Department for Education,department-for-education,Department for Education,organisation,rcvda,The UK government department responsible for education and children's services in England.,,GOV.UK — Department for Education,https://www.gov.uk/government/organisations/department-for-education,findthatcharity org ID GB-GOR-D6,RCVDA static list uses 'DoE / Department of Education'; the correct current name is Department for Education (DfE).,,
,Did Not Attend,did-not-attend,Did Not Attend,substantive,rcvda,An administrative code recording that a patient missed a booked appointment without notice; increasingly reframed as 'was not brought' for children.,,NHS administrative usage.,,,,,
,Duty to Co-operate,duty-to-co-operate,Duty to Co-operate,statutory,rcvda,"The statutory duty on relevant partners to co-operate in safeguarding and promoting the wellbeing of adults (and, for children, under separate provisions).",,"Care Act 2014, s.6",https://www.legislation.gov.uk/ukpga/2014/23/section/6,,Confirm intended sense: adult-safeguarding co-operation (Care Act 2014 s.6) vs children (Children Act 2004 s.10) vs the planning duty (Localism Act 2011 s.110).,,
,"Environmental, Social and Governance",esg,"Environmental, Social and Governance",substantive,rcvda,"A framework of environmental, social and governance criteria used to assess an organisation's wider impact and responsible practice.",,Common sector usage.,,,,,
,Hartlepool Borough Council,hartlepool-borough-council,Hartlepool Borough Council,organisation,rcvda,The unitary local authority for the Borough of Hartlepool in the Tees Valley.,,Hartlepool Borough Council,https://www.hartlepool.gov.uk,findthatcharity org ID GB-LAE-HPL,,,
,Health and Wellbeing Board,health-and-wellbeing-board,Health and Wellbeing Board,statutory,rcvda,"A statutory local-authority committee bringing together the NHS, public health, adult social care and children's services to improve health and wellbeing and reduce inequalities.",,"Health and Social Care Act 2012, s.194",https://www.legislation.gov.uk/ukpga/2012/7/section/194,,,,
,Health and Wellbeing Executive,health-and-wellbeing-executive,Health and Wellbeing Executive,substantive,rcvda,A local executive group supporting the delivery of a Health and Wellbeing Board's priorities.,,Local governance term.,,,Appears to be a South Tees / local body — confirm exact remit.,,
,Health in All Policies,health-in-all-policies,Health in All Policies,substantive,rcvda,"An approach to public policy that systematically accounts for the health implications of decisions across all sectors, to improve health and reduce inequalities.",,World Health Organization — Health in All Policies.,https://www.who.int/activities/promoting-health-in-all-policies-and-intersectoral-action-capacities,,,,
,Independent Mental Capacity Advocate,imca,Independent Mental Capacity Advocates,statutory,rcvda,A statutory advocate who represents and supports a person who lacks capacity to make certain serious decisions and has no-one else appropriate to consult.,,"Mental Capacity Act 2005, ss.35–41",https://www.legislation.gov.uk/ukpga/2005/9/contents,,,,
,Jobcentre Plus District,jcp-district,Jobcentre Plus District,substantive,rcvda,"A geographical management area of Jobcentre Plus, the part of the Department for Work and Pensions that delivers working-age benefits and employment support.",,Department for Work and Pensions — Jobcentre Plus.,,,,,
,Keeping Children Safe in Education,kcsie,Keeping Children Safe in Education,statutory,rcvda,The Department for Education's statutory safeguarding guidance that schools and colleges in England must have regard to.,,"DfE statutory guidance (Education Act 2002, s.175)",https://www.gov.uk/government/publications/keeping-children-safe-in-education--2,,,,
,Lawn Tennis Association,lawn-tennis-association,Lawn Tennis Association,organisation,rcvda,The national governing body for tennis in Great Britain.,,Lawn Tennis Association,https://www.lta.org.uk,Companies House GB-COH-07459469,"Companies House: Lawn Tennis Association Limited, 07459469 (the national governing body, Roehampton). From the RCVDA static glossary's 'Others — commonly used in Sport' list.",,
,Limited Capability for Work and Work-Related Activity,lcwra,Limited Capability for Work and Work-Related Activity,statutory,rcvda,"A Universal Credit determination that a claimant's health condition or disability so limits them that they are not expected to work or prepare for work, attracting an additional UC element.",,Welfare Reform Act 2012; Universal Credit Regulations 2013,https://www.legislation.gov.uk/ukpga/2012/5/contents,,,,
,Local Infrastructure Organisation,local-infrastructure-organisation,Local Infrastructure Organisation,substantive,rcvda,"A body that supports, develops and represents the local voluntary and community sector (for example a council for voluntary service); RCVDA is the LIO for Redcar & Cleveland.",,NAVCA — local infrastructure definition.,,,,,
,Local Safeguarding Children Board,lscb,Local Safeguarding Children Board,statutory,rcvda,The former statutory body coordinating local safeguarding of children; replaced from 2019 by multi-agency safeguarding arrangements led by three safeguarding partners.,,"Children Act 2004, s.13",https://www.legislation.gov.uk/ukpga/2004/31/section/13,,Superseded by multi-agency safeguarding arrangements (Children and Social Work Act 2017).,,
,Making Safeguarding Personal,making-safeguarding-personal,Making Safeguarding Personal,substantive,rcvda,"A person-centred, outcomes-focused approach to adult safeguarding that works with the person to achieve the outcomes they want. Distinct from My Sister's Place (also 'MSP').",,Local Government Association / ADASS — Making Safeguarding Personal; reflected in Care Act 2014 statutory guidance.,,,Homonym: not My Sister’s Place (see my-sister-s-place-msp).,,
,Mental Capacity Act,mental-capacity-act,Mental Capacity Act 2005,statutory,rcvda,The Act that provides the legal framework for making decisions on behalf of adults who lack the capacity to make particular decisions for themselves.,,Mental Capacity Act 2005,https://www.legislation.gov.uk/ukpga/2005/9/contents,,,,
,Mental Health Act,mental-health-act,Mental Health Act 1983,statutory,rcvda,"The Act governing the assessment, treatment and rights of people with a mental disorder, including detention ('sectioning') in hospital.",,Mental Health Act 1983,https://www.legislation.gov.uk/ukpga/1983/20/contents,,,,
,Mental Health Act Code of Practice,mha-code-of-practice,Mental Health Act Code of Practice,statutory,rcvda,"The statutory guidance on how the Mental Health Act 1983 should be applied, which professionals must have regard to.",,"Department of Health (2015), under Mental Health Act 1983, s.118",https://www.gov.uk/government/publications/code-of-practice-mental-health-act-1983,,,,
,Multi-Agency Public Protection Arrangements,mappa,Multi-Agency Public Protection Arrangements,statutory,rcvda,"The statutory arrangements through which police, probation and prison services jointly assess and manage the risks posed by violent and sexual offenders.",,"Criminal Justice Act 2003, ss.325–327",https://www.legislation.gov.uk/ukpga/2003/44/contents,,,,
,National Governing Body,national-governing-body,National Governing Body,substantive,rcvda,The recognised body responsible for governing and regulating a particular sport nationally.,,Sport sector usage.,,,,,
,NAVCA,navca,National Association for Voluntary and Community Action,organisation,rcvda,The national membership body for local infrastructure organisations supporting the voluntary and community sector in England.,,NAVCA,https://www.navca.org.uk,findthatcharity org ID GB-CHC-1001635,,,
,NHS England,nhs-england,National Health Service England,organisation,rcvda,The national body that led the NHS in England and oversaw commissioning; its functions are being brought back into the Department of Health and Social Care following the March 2025 decision to abolish it.,,GOV.UK — NHS England,https://www.gov.uk/government/organisations/nhs-england,findthatcharity org ID GB-GOR-PB481,"Confirm current transition status; NHS England abolition announced March 2025, phased over ~2 years.",,
,North East Ambulance Service,neas,North East Ambulance Service,organisation,rcvda,"The NHS foundation trust providing 999 emergency and patient-transport ambulance services across the North East, including South Tees.",,North East Ambulance Service NHS Foundation Trust,https://www.neas.nhs.uk,,,,
,Personal Independence Payment,pip,Personal Independence Payment,statutory,rcvda,A non-means-tested benefit that helps with the extra costs of a long-term health condition or disability; it replaced Disability Living Allowance for working-age adults.,,"Welfare Reform Act 2012, Part 4",https://www.legislation.gov.uk/ukpga/2012/5/part/4,,,,
,"Professional, Statutory and Regulatory Bodies",psbr,"Professional, Statutory and Regulatory Bodies",substantive,rcvda,"The bodies that set standards for, accredit or regulate a profession or field of practice.",,Common usage (education / professional accreditation).,,,,,
,Quality Surveillance Group,quality-surveillance-group,Quality Surveillance Group,substantive,rcvda,A multi-agency group that shares intelligence and coordinates action on the quality and safety of local health and care services.,,NHS England — Quality Surveillance Group guidance.,,,,,
,Registered Social Landlord,registered-social-landlord,Registered Social Landlord,substantive,rcvda,"A non-profit provider of social housing (typically a housing association) registered with, and regulated by, the social housing regulator.",,Housing and Regeneration Act 2008,https://www.legislation.gov.uk/ukpga/2008/17/contents,,Now more commonly 'registered provider of social housing'.,,
,Safeguarding Adults Board,safeguarding-adults-board,Safeguarding Adults Board,statutory,rcvda,"The statutory multi-agency board that oversees and coordinates adult safeguarding arrangements in a local area (locally, the Teeswide Safeguarding Adults Board).",,"Care Act 2014, s.43",https://www.legislation.gov.uk/ukpga/2014/23/section/43,,,,
,Safeguarding Adults Review,safeguarding-adults-review,Safeguarding Adults Review,statutory,rcvda,"A statutory review a Safeguarding Adults Board must arrange when an adult with care and support needs dies or is seriously harmed and abuse or neglect is suspected, to identify learning.",,"Care Act 2014, s.44",https://www.legislation.gov.uk/ukpga/2014/23/section/44,,,,
,Severe Weather Emergency Protocol,swep,Severe Weather Emergency Protocol,substantive,rcvda,"Local arrangements to provide emergency accommodation for people sleeping rough during severe weather; a discretionary, non-statutory response prompted by cold-weather and other severe-weather thresholds.",,MHCLG rough sleeping / cold weather provision guidance.,,,,,
,SMARTER objectives,smarter,"Specific, Meaningful, Achievable, Relevant, Time-bound, Evaluate, Re-adjust",method,rcvda,A goal-setting mnemonic extending the SMART objectives framework with 'Evaluate' and 'Re-adjust' stages.,,Objective-setting framework (extension of SMART).,,,,,
,Supported Employment Quality Framework,seqf,Supported Employment Quality Framework,method,rcvda,A quality standard for supported-employment services helping disabled people and those with health conditions into work.,,British Association for Supported Employment (BASE).,,,,,
,Sustrans,sustrans,Sustrans,organisation,rcvda,The sustainable-transport charity and custodian of the National Cycle Network; 'Sustrans' is short for 'sustainable transport'.,,Sustrans,https://www.sustrans.org.uk,findthatcharity org ID GB-CHC-326550,"Registered charity 326550, now named Walk Wheel Cycle Trust (formerly Sustrans).",,
,Team around the individual,tati,Team around the individual,method,rcvda,"A coordinated, person-centred approach bringing the relevant workers around one individual to plan and deliver joined-up support.",,Practice model (multi-agency).,,,,,
,Tees Valley Rural Action,tees-valley-rural-action,Tees Valley Rural Action,organisation,rcvda,"The rural community council for the Tees Valley, supporting rural communities and voluntary organisations.",,Tees Valley Rural Action,,findthatcharity org ID GB-CHC-1080282,,,
,Therapeutic Communities,therapeutic-communities,Therapeutic Communities,substantive,rcvda,"A group-based, participative approach to treatment in which the community itself is the primary therapeutic agent, used in mental-health, substance-use and offender settings.",,Royal College of Psychiatrists — Community of Communities.,,,,,
,THRIVE (values),thrive-values,"Timely, Helpful, Respectful, Innovative, Values-based and Efficient",substantive,rcvda,A values mnemonic describing how services aim to work. Distinct from the local Thrive Partnership.,,RCVDA / partnership values statement.,,,Homonym: not the Thrive Partnership (see thrive-partnership).,,
,Town Centre Management,town-centre-management,Town Centre Management,substantive,rcvda,"The coordinated management of a town centre's environment, economy and activity, usually as a partnership between the local authority, businesses and other stakeholders.",,Common sector usage.,,,,,
,Universal Credit,universal-credit,Universal Credit,statutory,rcvda,"The single means-tested working-age benefit that replaces six legacy benefits including Housing Benefit, Income Support and tax credits.",,"Welfare Reform Act 2012, Part 1",https://www.legislation.gov.uk/ukpga/2012/5/part/1,,,,
,Violence Against Women and Girls,vawg,Violence Against Women and Girls,substantive,rcvda,"An umbrella term for a range of abuses disproportionately affecting women and girls, including domestic abuse, sexual violence, stalking and so-called honour-based abuse.",,Home Office — Tackling Violence Against Women and Girls Strategy (2021).,https://www.gov.uk/government/publications/tackling-violence-against-women-and-girls-strategy,,,,
,Voluntary and Community Sector,voluntary-and-community-sector,Voluntary and Community Sector,substantive,rcvda,"Charities, community groups and other not-for-profit organisations; the narrower predecessor term to VCSE (which also includes social enterprise).",,Common sector usage.,,,,,
,VONNE,vonne,Voluntary Organisations Network North East,organisation,rcvda,"The regional infrastructure body representing and supporting the voluntary, community and social enterprise sector across the North East.",,VONNE,https://www.vonne.org.uk,findthatcharity org ID GB-CHC-1084083,,,
